index,Question,Segment Type,Segment Description,Answer,Count,Percentage
0,What do you think when an influencer is obviously selling a product?,Mobile,Global results,Is this product cool?,268,0.226
1,What do you think when an influencer is obviously selling a product?,Mobile,Global results,This is lame,532,0.449
2,What do you think when an influencer is obviously selling a product?,Mobile,Global results,Get that money! ,293,0.247
3,What do you think when an influencer is obviously selling a product?,Mobile,Global results,Other (comment) ,91,0.077
4,What do you think when an influencer is obviously selling a product?,Web,Web,Is this product cool?,0,0.0
5,What do you think when an influencer is obviously selling a product?,Web,Web,This is lame,0,0.0
6,What do you think when an influencer is obviously selling a product?,Web,Web,Get that money! ,0,0.0
7,What do you think when an influencer is obviously selling a product?,Web,Web,Other (comment) ,0,0.0
8,What do you think when an influencer is obviously selling a product?,Gender,Female voters,Is this product cool?,71,0.165
9,What do you think when an influencer is obviously selling a product?,Gender,Female voters,This is lame,220,0.51
10,What do you think when an influencer is obviously selling a product?,Gender,Female voters,Get that money! ,100,0.232
11,What do you think when an influencer is obviously selling a product?,Gender,Female voters,Other (comment) ,40,0.093
12,What do you think when an influencer is obviously selling a product?,Gender,Male voters,Is this product cool?,197,0.262
13,What do you think when an influencer is obviously selling a product?,Gender,Male voters,This is lame,311,0.414
14,What do you think when an influencer is obviously selling a product?,Gender,Male voters,Get that money! ,192,0.256
15,What do you think when an influencer is obviously selling a product?,Gender,Male voters,Other (comment) ,51,0.068
16,What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Is this product cool?,7,0.226
17,What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,This is lame,15,0.484
18,What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Get that money! ,8,0.258
19,What do you think when an influencer is obviously selling a product?,University,Vanderbilt University,Other (comment) ,1,0.032
20,What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Is this product cool?,8,0.258
21,What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",This is lame,14,0.452
22,What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Get that money! ,7,0.226
23,What do you think when an influencer is obviously selling a product?,University,"University of California, Berkeley",Other (comment) ,2,0.065
24,What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Is this product cool?,2,0.182
25,What do you think when an influencer is obviously selling a product?,University,Texas Christian University,This is lame,4,0.364
26,What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Get that money! ,4,0.364
27,What do you think when an influencer is obviously selling a product?,University,Texas Christian University,Other (comment) ,1,0.091
28,What do you think when an influencer is obviously selling a product?,University,University of Missouri,Is this product cool?,4,0.333
29,What do you think when an influencer is obviously selling a product?,University,University of Missouri,This is lame,2,0.167
30,What do you think when an influencer is obviously selling a product?,University,University of Missouri,Get that money! ,3,0.25
31,What do you think when an influencer is obviously selling a product?,University,University of Missouri,Other (comment) ,3,0.25
32,What do you think when an influencer is obviously selling a product?,University,Emory University,Is this product cool?,4,0.16
